"County","Sector","2020","Total Usage"
"ALAMEDA","Non-Residential","     149.849897","     149.849897"
"ALAMEDA","Residential","     216.615141","     216.615141"
"ALAMEDA","Total","     366.465038","     366.465038"
"AMADOR","Non-Residential","       5.233307","       5.233307"
"AMADOR","Residential","       2.136004","       2.136004"
"AMADOR","Total","       7.369311","       7.369311"
"BUTTE","Non-Residential","      14.883613","      14.883613"
"BUTTE","Residential","      21.816990","      21.816990"
"BUTTE","Total","      36.700603","      36.700603"
"CALAVERAS","Non-Residential","       0.507099","       0.507099"
"CALAVERAS","Residential","       0.445337","       0.445337"
"CALAVERAS","Total","       0.952436","       0.952436"
"COLUSA","Non-Residential","      25.330136","      25.330136"
"COLUSA","Residential","       2.128467","       2.128467"
"COLUSA","Total","      27.458603","      27.458603"
"CONTRA COSTA","Non-Residential","     888.934870","     888.934870"
"CONTRA COSTA","Residential","     172.976757","     172.976757"
"CONTRA COSTA","Total","    1061.911627","    1061.911627"
"EL DORADO","Non-Residential","       8.627538","       8.627538"
"EL DORADO","Residential","      23.861925","      23.861925"
"EL DORADO","Total","      32.489463","      32.489463"
"FRESNO","Non-Residential","     215.927279","     215.927279"
"FRESNO","Residential","     109.987978","     109.987978"
"FRESNO","Total","     325.915257","     325.915257"
"GLENN","Non-Residential","       5.366716","       5.366716"
"GLENN","Residential","       2.368116","       2.368116"
"GLENN","Total","       7.734832","       7.734832"
"HUMBOLDT","Non-Residential","      11.095254","      11.095254"
"HUMBOLDT","Residential","      19.856278","      19.856278"
"HUMBOLDT","Total","      30.951532","      30.951532"
"IMPERIAL","Non-Residential","      33.813768","      33.813768"
"IMPERIAL","Residential","       8.134438","       8.134438"
"IMPERIAL","Total","      41.948206","      41.948206"
"KERN","Non-Residential","    2122.894657","    2122.894657"
"KERN","Residential","     101.315519","     101.315519"
"KERN","Total","    2224.210176","    2224.210176"
"KINGS","Non-Residential","      48.394871","      48.394871"
"KINGS","Residential","      15.514244","      15.514244"
"KINGS","Total","      63.909115","      63.909115"
"LAKE","Non-Residential","",""
"LAKE","Residential","",""
"LAKE","Total","",""
"LASSEN","Non-Residential","       1.112566","       1.112566"
"LASSEN","Residential","       1.090945","       1.090945"
"LASSEN","Total","       2.203511","       2.203511"
"LOS ANGELES","Non-Residential","    1698.687468","    1698.687468"
"LOS ANGELES","Residential","    1237.999629","    1237.999629"
"LOS ANGELES","Total","    2936.687098","    2936.687098"
"MADERA","Non-Residential","      45.740607","      45.740607"
"MADERA","Residential","       8.695751","       8.695751"
"MADERA","Total","      54.436358","      54.436358"
"MARIN","Non-Residential","      16.809831","      16.809831"
"MARIN","Residential","      50.379266","      50.379266"
"MARIN","Total","      67.189097","      67.189097"
"MARIPOSA","Non-Residential","       0.000000","       0.000000"
"MARIPOSA","Residential","       0.000123","       0.000123"
"MARIPOSA","Total","       0.000123","       0.000123"
"MENDOCINO","Non-Residential","       4.275626","       4.275626"
"MENDOCINO","Residential","       5.481725","       5.481725"
"MENDOCINO","Total","       9.757351","       9.757351"
"MERCED","Non-Residential","     104.308428","     104.308428"
"MERCED","Residential","      26.869034","      26.869034"
"MERCED","Total","     131.177462","     131.177462"
"MONTEREY","Non-Residential","      57.675880","      57.675880"
"MONTEREY","Residential","      52.333942","      52.333942"
"MONTEREY","Total","     110.009822","     110.009822"
"NAPA","Non-Residential","      16.039553","      16.039553"
"NAPA","Residential","      20.258155","      20.258155"
"NAPA","Total","      36.297708","      36.297708"
"NEVADA","Non-Residential","       5.733678","       5.733678"
"NEVADA","Residential","      13.979074","      13.979074"
